Rank,Company,Industry,Revenue,Employees
464,Securian Financial,"Insurance: Life, Health (Stock)",$8.2B,5.6K
465,Post,Food Consumer Products,$8.2B,11.5K
466,Fifth Third Bancorp,Commercial Banks,$8.1B,18.6K
467,Sanmina,Semiconductors and Other Electronic Components,$8.1B,34.5K
468,Voya Financial,Diversified Financials,$8.1B,10K
469,XPO,Transportation and Logistics,$8.1B,39.5K
470,Yum Brands,Food Services,$8.1B,31.7K
471,KBR,Information Technology Services,$8B,38K
472,American Financial,Insurance: Property and Casualty (Stock),$8B,8.7K
473,Zimmer Biomet,Medical Products and Equipment,$8B,17K
474,Fastenal,Wholesalers: Diversified,$8B,21K
475,Foot Locker,Specialty Retailers: Apparel,$8B,30.2K
476,Monster Beverage,Beverages,$8B,6K
477,Howmet Aerospace,Aerospace & Defense,$8B,23.9K
478,Northern Trust,Commercial Banks,$7.9B,23.3K
479,Dover,Industrial Machinery,$7.9B,24K
480,Williams-Sonoma,Specialty Retailers: Other,$7.9B,19.6K
481,ARKO,Specialty Retailers: Other,$7.9B,11.8K
482,Vulcan Materials,"Building Materials, Glass",$7.9B,12K
483,Regions Financial,Commercial Banks,$7.8B,19.6K
484,Commercial Metals,Metals,$7.8B,13.2K
485,Core & Main,Wholesalers: Diversified,$7.8B,5.7K
486,Rush Enterprises,"Automotive Retailing, Services",$7.7B,7.9K
487,Microchip Technology,Semiconductors and Other Electronic Components,$7.6B,22.3K
488,Masco,"Home Equipment, Furnishings",$7.6B,18K
489,Interactive Brokers,Securities,$7.5B,3K
490,Huntington Bancshares,Commercial Banks,$7.5B,19.9K
491,Endeavor,Entertainment,$7.5B,10K
492,Par Pacific,Petroleum Refining,$7.5B,1.8K
493,Citizens Financial,Commercial Banks,$7.4B,17.3K
494,Watsco,Wholesalers: Diversified,$7.4B,7.3K
495,Science Applications International,Information Technology Services,$7.3B,24K
496,Electronic Arts,Entertainment,$7.3B,13.7K
497,Newell Brands,"Home Equipment, Furnishings",$7.3B,23.7K
498,Ingredion,Food Production,$7.3B,11.2K
499,KeyCorp,Commercial Banks,$7.2B,16.8K
500,QXO Building Products,Wholesalers: Diversified,$5.5B,8.1K
